#x	Mode 1: Theta Y	Mode 2: Theta Y	Mode 3: Theta Y	Mode 4: Theta Y	Mode 5: Theta Y	Mode 6: Theta Y	Mode 7: Theta Y	Mode 8: Theta Y	Mode 9: Theta Y	Mode 10: Theta Y	Mode 11: Theta Y	Mode 12: Theta Y	Mode 13: Theta Y	Mode 14: Theta Y	Mode 15: Theta Y	Mode 16: Theta Y	Mode 17: Theta Y	Mode 18: Theta Y	Mode 19: Theta Y	Mode 20: Theta Y
0.44000000	-0.03011000	0.01280000	-0.12782000	0.08786000	0.09271000	-0.12172000	-0.04655000	0.13911000	-0.00648000	-0.13618000	0.05841000	0.11334000	0.00000000	-0.10158000	-0.07394000	0.12956000	0.02379000	0.00000000	-0.13820000	0.02964000
0.44667000	-0.03037000	0.01010000	-0.13078000	0.07943000	0.10231000	-0.11276000	-0.06414000	0.13421000	0.01844000	-0.14002000	0.02930000	0.12950000	0.00000000	-0.07344000	-0.10383000	0.10876000	0.06602000	0.00000000	-0.13103000	-0.02056000
0.45333000	-0.03063000	0.00736000	-0.13340000	0.07059000	0.11101000	-0.10231000	-0.08055000	0.12601000	0.04277000	-0.13836000	-0.00122000	0.13820000	0.00000000	-0.04033000	-0.12549000	0.07805000	0.10136000	0.00000000	-0.10845000	-0.06801000
0.46000000	-0.03089000	0.00459000	-0.13566000	0.06138000	0.11872000	-0.09050000	-0.09547000	0.11471000	0.06576000	-0.13124000	-0.03168000	0.13895000	0.00000000	-0.00446000	-0.13723000	0.04021000	0.12617000	0.00000000	-0.07308000	-0.10649000
0.46667000	-0.03114000	0.00179000	-0.13756000	0.05184000	0.12537000	-0.07749000	-0.10862000	0.10059000	0.08667000	-0.11895000	-0.06062000	0.13167000	0.00000000	0.03171000	-0.13806000	-0.00132000	0.13778000	0.00000000	-0.02905000	-0.13079000
0.47333000	-0.03138000	-0.00104000	-0.13908000	0.04204000	0.13091000	-0.06345000	-0.11977000	0.08399000	0.10484000	-0.10197000	-0.08664000	0.11680000	0.00000000	0.06571000	-0.12796000	-0.04271000	0.13505000	0.00000000	0.01837000	-0.13779000
0.48000000	-0.03162000	-0.00389000	-0.14023000	0.03202000	0.13528000	-0.04857000	-0.12870000	0.06533000	0.11971000	-0.08098000	-0.10850000	0.09521000	0.00000000	0.09526000	-0.10773000	-0.08022000	0.11826000	0.00000000	0.06366000	-0.12657000
0.48667000	-0.03185000	-0.00676000	-0.14100000	0.02184000	0.13846000	-0.03305000	-0.13525000	0.04507000	0.13079000	-0.05679000	-0.12513000	0.06812000	0.00000000	0.11831000	-0.07893000	-0.11038000	0.08910000	0.00000000	0.10140000	-0.09849000
0.49333000	-0.03208000	-0.00965000	-0.14138000	0.01155000	0.14041000	-0.01709000	-0.13930000	0.02369000	0.13775000	-0.03036000	-0.13575000	0.03711000	0.00000000	0.13332000	-0.04390000	-0.13046000	0.05068000	0.00000000	0.12719000	-0.05741000
0.50000000	-0.03231000	-0.01256000	-0.14138000	0.00121000	0.14111000	-0.00090000	-0.14078000	0.00173000	0.14036000	-0.00274000	-0.13985000	0.00396000	0.00000000	0.13927000	-0.00538000	-0.13865000	0.00697000	0.00000000	0.13801000	-0.00871000
0.50667000	-0.03253000	-0.01548000	-0.14099000	-0.00913000	0.14056000	0.01530000	-0.13966000	-0.02027000	0.13853000	0.02499000	-0.13720000	-0.02941000	0.00000000	0.13573000	0.03357000	-0.13414000	-0.03747000	0.00000000	0.13248000	0.04115000
0.51333000	-0.03274000	-0.01840000	-0.14021000	-0.01941000	0.13876000	0.03130000	-0.13595000	-0.04177000	0.13233000	0.05173000	-0.12797000	-0.06110000	0.00000000	0.12296000	0.06985000	-0.11739000	-0.07799000	0.00000000	0.11136000	0.08553000
0.52000000	-0.03295000	-0.02134000	-0.13905000	-0.02958000	0.13574000	0.04689000	-0.12973000	-0.06225000	0.12196000	0.07644000	-0.11258000	-0.08926000	0.00000000	0.10183000	0.10061000	-0.08994000	-0.11041000	0.00000000	0.07712000	0.11864000
0.52667000	-0.03315000	-0.02428000	-0.13750000	-0.03958000	0.13151000	0.06185000	-0.12111000	-0.08119000	0.10773000	0.09813000	-0.09177000	-0.11227000	0.00000000	0.07376000	0.12337000	-0.05424000	-0.13128000	0.00000000	0.03373000	0.13594000
0.53333000	-0.03335000	-0.02721000	-0.13557000	-0.04936000	0.12611000	0.07600000	-0.11025000	-0.09814000	0.09010000	0.11596000	-0.06655000	-0.12882000	0.00000000	0.04068000	0.13636000	-0.01361000	-0.13848000	0.00000000	-0.01360000	0.13527000
0.54000000	-0.03354000	-0.03015000	-0.13326000	-0.05886000	0.11960000	0.08915000	-0.09735000	-0.11267000	0.06963000	0.12922000	-0.03813000	-0.13794000	0.00000000	0.00483000	0.13856000	0.02828000	-0.13127000	0.00000000	-0.05935000	0.11670000
0.54667000	-0.03373000	-0.03309000	-0.13058000	-0.06804000	0.11203000	0.10111000	-0.08266000	-0.12443000	0.04696000	0.13738000	-0.00787000	-0.13910000	0.00000000	-0.03134000	0.12975000	0.06758000	-0.11033000	0.00000000	-0.09807000	0.08259000
0.55333000	-0.03392000	-0.03601000	-0.12753000	-0.07684000	0.10346000	0.11173000	-0.06643000	-0.13313000	0.02280000	0.14013000	0.02276000	-0.13226000	0.00000000	-0.06538000	0.11067000	0.10070000	-0.07792000	0.00000000	-0.12523000	0.03759000
0.56000000	-0.03410000	-0.03893000	-0.12413000	-0.08522000	0.09398000	0.12088000	-0.04898000	-0.13856000	-0.00207000	0.13737000	0.05230000	-0.11779000	0.00000000	-0.09499000	0.08282000	0.12464000	-0.03738000	0.00000000	-0.13766000	-0.01242000
0.56667000	-0.03427000	-0.04183000	-0.12037000	-0.09314000	0.08368000	0.12843000	-0.03062000	-0.14057000	-0.02688000	0.12918000	0.07932000	-0.09652000	0.00000000	-0.11812000	0.04839000	0.13717000	0.00707000	0.00000000	-0.13377000	-0.06077000
0.57333000	-0.03444000	-0.04472000	-0.11628000	-0.10054000	0.07263000	0.13428000	-0.01169000	-0.13913000	-0.05083000	0.11591000	0.10253000	-0.06969000	0.00000000	-0.13321000	0.01014000	0.13718000	0.05076000	0.00000000	-0.11414000	-0.10105000
0.58000000	-0.03461000	-0.04759000	-0.11185000	-0.10738000	0.06094000	0.13835000	0.00745000	-0.13427000	-0.07319000	0.09807000	0.12081000	-0.03885000	0.00000000	-0.13926000	-0.02893000	0.12468000	0.08919000	0.00000000	-0.08106000	-0.12800000
0.58667000	-0.03477000	-0.05044000	-0.10710000	-0.11364000	0.04871000	0.14059000	0.02646000	-0.12610000	-0.09323000	0.07636000	0.13327000	-0.00577000	0.00000000	-0.13581000	-0.06569000	0.10076000	0.11829000	0.00000000	-0.03837000	-0.13790000
0.59333000	-0.03492000	-0.05327000	-0.10204000	-0.11928000	0.03606000	0.14097000	0.04498000	-0.11483000	-0.11033000	0.05165000	0.13933000	0.02765000	0.00000000	-0.12313000	-0.09725000	0.06765000	0.13507000	0.00000000	0.00880000	-0.12957000
0.60000000	-0.03508000	-0.05607000	-0.09668000	-0.12426000	0.02310000	0.13949000	0.06267000	-0.10074000	-0.12395000	0.02490000	0.13869000	0.05947000	0.00000000	-0.10208000	-0.12112000	0.02837000	0.13779000	0.00000000	0.05497000	-0.10409000
0.60667000	-0.03522000	-0.05885000	-0.09104000	-0.12856000	0.00993000	0.13616000	0.07919000	-0.08417000	-0.13365000	-0.00283000	0.13137000	0.08786000	0.00000000	-0.07408000	-0.13535000	-0.01352000	0.12610000	0.00000000	0.09463000	-0.06475000
0.61333000	-0.03537000	-0.06159000	-0.08513000	-0.13216000	-0.00332000	0.13104000	0.09426000	-0.06552000	-0.13913000	-0.03045000	0.11774000	0.11119000	0.00000000	-0.04104000	-0.13887000	-0.05416000	0.10130000	0.00000000	0.12312000	-0.01688000
0.62000000	-0.03551000	-0.06431000	-0.07897000	-0.13503000	-0.01653000	0.12418000	0.10759000	-0.04527000	-0.14023000	-0.05687000	0.09844000	0.12812000	0.00000000	-0.00521000	-0.13140000	-0.08987000	0.06594000	0.00000000	0.13713000	0.03325000
0.62667000	-0.03564000	-0.06699000	-0.07256000	-0.13715000	-0.02958000	0.11568000	0.11893000	-0.02390000	-0.13689000	-0.08105000	0.07441000	0.13765000	0.00000000	0.03098000	-0.11348000	-0.11735000	0.02368000	0.00000000	0.13490000	0.07896000
