#x	Mode 1: z	Mode 2: z	Mode 3: z	Mode 4: z	Mode 5: z	Mode 6: z	Mode 7: z	Mode 8: z	Mode 9: z	Mode 10: z	Mode 11: z	Mode 12: z	Mode 13: z	Mode 14: z	Mode 15: z	Mode 16: z	Mode 17: z	Mode 18: z	Mode 19: z	Mode 20: z
0.53333000	0.07578000	-0.13800000	0.02961000	-0.08665000	-0.03244000	0.04949000	0.03088000	-0.03078000	-0.02904000	0.01899000	0.02687000	-0.01074000	0.00000000	-0.02445000	0.00463000	0.02185000	0.00001000	0.00000000	-0.01912000	-0.00353000
0.54000000	0.07739000	-0.13663000	0.03607000	-0.08406000	-0.03834000	0.04552000	0.03587000	-0.02571000	-0.03288000	0.01309000	0.02940000	-0.00430000	0.00000000	-0.02556000	-0.00202000	0.02150000	0.00654000	0.00000000	-0.01736000	-0.00965000
0.54667000	0.07900000	-0.13511000	0.04240000	-0.08101000	-0.04391000	0.04095000	0.04020000	-0.02001000	-0.03569000	0.00667000	0.03051000	0.00238000	0.00000000	-0.02491000	-0.00850000	0.01918000	0.01239000	0.00000000	-0.01354000	-0.01448000
0.55333000	0.08063000	-0.13345000	0.04859000	-0.07753000	-0.04908000	0.03584000	0.04378000	-0.01381000	-0.03737000	-0.00001000	0.03015000	0.00892000	0.00000000	-0.02258000	-0.01431000	0.01511000	0.01694000	0.00000000	-0.00813000	-0.01740000
0.56000000	0.08226000	-0.13165000	0.05464000	-0.07364000	-0.05382000	0.03025000	0.04655000	-0.00728000	-0.03787000	-0.00669000	0.02834000	0.01495000	0.00000000	-0.01871000	-0.01898000	0.00966000	0.01974000	0.00000000	-0.00175000	-0.01802000
0.56667000	0.08390000	-0.12971000	0.06051000	-0.06936000	-0.05809000	0.02426000	0.04847000	-0.00056000	-0.03717000	-0.01311000	0.02517000	0.02012000	0.00000000	-0.01356000	-0.02215000	0.00332000	0.02047000	0.00000000	0.00483000	-0.01623000
0.57333000	0.08555000	-0.12764000	0.06619000	-0.06471000	-0.06184000	0.01795000	0.04948000	0.00616000	-0.03530000	-0.01901000	0.02078000	0.02413000	0.00000000	-0.00750000	-0.02357000	-0.00331000	0.01907000	0.00000000	0.01083000	-0.01231000
0.58000000	0.08721000	-0.12542000	0.07166000	-0.05971000	-0.06505000	0.01140000	0.04959000	0.01274000	-0.03232000	-0.02417000	0.01540000	0.02675000	0.00000000	-0.00092000	-0.02311000	-0.00965000	0.01568000	0.00000000	0.01557000	-0.00675000
0.58667000	0.08887000	-0.12307000	0.07692000	-0.05441000	-0.06769000	0.00469000	0.04877000	0.01900000	-0.02831000	-0.02837000	0.00928000	0.02782000	0.00000000	0.00572000	-0.02083000	-0.01510000	0.01066000	0.00000000	0.01846000	-0.00029000
0.59333000	0.09054000	-0.12058000	0.08194000	-0.04881000	-0.06972000	-0.00207000	0.04705000	0.02479000	-0.02341000	-0.03145000	0.00271000	0.02729000	0.00000000	0.01197000	-0.01689000	-0.01917000	0.00452000	0.00000000	0.01918000	0.00620000
0.60000000	0.09222000	-0.11796000	0.08671000	-0.04297000	-0.07114000	-0.00881000	0.04447000	0.02998000	-0.01778000	-0.03329000	-0.00399000	0.02519000	0.00000000	0.01741000	-0.01161000	-0.02149000	-0.00208000	0.00000000	0.01764000	0.01187000
0.60667000	0.09391000	-0.11520000	0.09122000	-0.03689000	-0.07194000	-0.01543000	0.04106000	0.03442000	-0.01158000	-0.03382000	-0.01050000	0.02164000	0.00000000	0.02166000	-0.00542000	-0.02185000	-0.00847000	0.00000000	0.01400000	0.01597000
0.61333000	0.09561000	-0.11231000	0.09545000	-0.03063000	-0.07209000	-0.02185000	0.03689000	0.03802000	-0.00501000	-0.03302000	-0.01650000	0.01684000	0.00000000	0.02443000	0.00121000	-0.02021000	-0.01398000	0.00000000	0.00873000	0.01795000
0.62000000	0.09731000	-0.10928000	0.09938000	-0.02422000	-0.07162000	-0.02798000	0.03204000	0.04069000	0.00171000	-0.03092000	-0.02171000	0.01107000	0.00000000	0.02555000	0.00774000	-0.01673000	-0.01803000	0.00000000	0.00242000	0.01756000
0.62667000	0.09901000	-0.10613000	0.10302000	-0.01768000	-0.07051000	-0.03375000	0.02659000	0.04235000	0.00838000	-0.02760000	-0.02587000	0.00466000	0.00000000	0.02493000	0.01366000	-0.01172000	-0.02020000	0.00000000	-0.00418000	0.01483000
0.63333000	0.10073000	-0.10285000	0.10635000	-0.01106000	-0.06878000	-0.03907000	0.02065000	0.04297000	0.01478000	-0.02319000	-0.02879000	-0.00202000	0.00000000	0.02261000	0.01849000	-0.00564000	-0.02026000	0.00000000	-0.01027000	0.01014000
