#x	Mode 1: Theta Y	Mode 2: Theta Y	Mode 3: Theta Y	Mode 4: Theta Y	Mode 5: Theta Y	Mode 6: Theta Y	Mode 7: Theta Y	Mode 8: Theta Y	Mode 9: Theta Y	Mode 10: Theta Y	Mode 11: Theta Y	Mode 12: Theta Y	Mode 13: Theta Y	Mode 14: Theta Y	Mode 15: Theta Y	Mode 16: Theta Y	Mode 17: Theta Y	Mode 18: Theta Y	Mode 19: Theta Y	Mode 20: Theta Y
0.12468000	-0.00963000	-0.05685000	-0.12533000	-0.13347000	0.00000000	-0.09483000	-0.03287000	0.04023000	0.11087000	0.00000000	0.16662000	0.00000000	0.19641000	0.19549000	0.00000000	0.16333000	0.10423000	0.00000000	0.02835000	-0.05260000
0.13091000	-0.01007000	-0.05864000	-0.12640000	-0.12914000	0.00000000	-0.08320000	-0.01428000	0.06304000	0.13311000	0.00000000	0.18243000	0.00000000	0.20000000	0.18285000	0.00000000	0.13333000	0.05957000	0.00000000	-0.02487000	-0.10507000
0.13714000	-0.01051000	-0.06032000	-0.12700000	-0.12397000	0.00000000	-0.07063000	0.00480000	0.08518000	0.15283000	0.00000000	0.19346000	0.00000000	0.19685000	0.16255000	0.00000000	0.09658000	0.01135000	0.00000000	-0.07622000	-0.14870000
0.14338000	-0.01094000	-0.06191000	-0.12716000	-0.11799000	0.00000000	-0.05724000	0.02415000	0.10627000	0.16955000	0.00000000	0.19938000	0.00000000	0.18705000	0.13547000	0.00000000	0.05497000	-0.03747000	0.00000000	-0.12202000	-0.17992000
0.14961000	-0.01137000	-0.06340000	-0.12686000	-0.11124000	0.00000000	-0.04315000	0.04350000	0.12595000	0.18290000	0.00000000	0.20000000	0.00000000	0.17091000	0.10271000	0.00000000	0.01060000	-0.08394000	0.00000000	-0.15903000	-0.19616000
0.15584000	-0.01180000	-0.06479000	-0.12613000	-0.10377000	0.00000000	-0.02848000	0.06261000	0.14386000	0.19256000	0.00000000	0.19527000	0.00000000	0.14896000	0.06565000	0.00000000	-0.03424000	-0.12521000	0.00000000	-0.18456000	-0.19600000
0.16208000	-0.01223000	-0.06608000	-0.12498000	-0.09563000	0.00000000	-0.01337000	0.08127000	0.15972000	0.19831000	0.00000000	0.18530000	0.00000000	0.12195000	0.02587000	0.00000000	-0.07727000	-0.15877000	0.00000000	-0.19682000	-0.17954000
0.16831000	-0.01264000	-0.06727000	-0.12341000	-0.08686000	0.00000000	0.00207000	0.09922000	0.17324000	0.20000000	0.00000000	0.17034000	0.00000000	0.09079000	-0.01496000	0.00000000	-0.11627000	-0.18259000	0.00000000	-0.19494000	-0.14814000
0.17455000	-0.01306000	-0.06837000	-0.12143000	-0.07752000	0.00000000	0.01769000	0.11626000	0.18419000	0.19757000	0.00000000	0.15080000	0.00000000	0.05655000	-0.05509000	0.00000000	-0.14924000	-0.19517000	0.00000000	-0.17901000	-0.10436000
0.18078000	-0.01347000	-0.06937000	-0.11905000	-0.06766000	0.00000000	0.03337000	0.13219000	0.19239000	0.19107000	0.00000000	0.12718000	0.00000000	0.02041000	-0.09284000	0.00000000	-0.17449000	-0.19580000	0.00000000	-0.15023000	-0.05192000
